date,value,bet,margin,gender,repeated_from
2019-03-13,13940,17000,1000,F,
2019-03-14,22730,20500,1500,F,2019-01-22
2019-03-15,16230,15500,1000,F,
2019-03-18,19480,15500,500,F,
2019-03-19,9490,12000,2000,M,
2019-03-20,18530,16000,500,M,
2019-03-21,16790,16000,1000,M,
2019-04-01,18020,18000,1000,F,
2019-04-05,13750,20000,2000,F,
2019-04-08,14920,19000,500,M,
2019-04-09,12030,11000,1500,F,
2019-04-15,26330,24500,2000,F,
2019-04-16,16940,18500,500,M,
2019-04-17,18200,18000,1000,M,
2019-04-18,13980,15750,500,F,
2019-04-19,18910,16000,1500,F,
2019-04-22,15320,12500,1000,M,
2019-04-23,17600,15000,2000,F,
2019-04-24,17470,17500,1000,M,
2019-04-25,9700,7000,2000,M,
2019-04-26,20400,17000,1000,F,
2019-04-29,9010,9500,1500,M,
2019-04-30,22740,21800,1000,M,
2019-05-01,14320,18500,500,F,
2019-05-02,22510,19500,1000,M,
2019-05-03,13940,17000,1000,F,2019-03-13
2019-05-06,20240,18000,500,F,
2019-05-07,14990,14000,1500,M,
2019-05-08,19480,15500,500,F,2019-03-18
2019-05-09,9340,10500,2000,F,
2019-05-10,15940,19500,500,M,
2019-05-13,13880,16000,2000,M,
2019-05-15,14060,12500,1500,F,
2019-05-16,16670,16500,1000,F,
2019-05-17,9850,12500,500,F,
2019-05-20,9350,10800,2000,M,
2019-05-21,11820,11500,1500,F,
2019-05-23,18060,18500,1000,M,
2019-05-29,9240,12000,2000,M,
2019-05-30,16610,16500,1500,F,
2019-06-03,12370,12500,1500,M,
2019-06-04,18120,16500,2000,M,
2019-06-07,15330,14000,1000,F,
2019-06-10,17350,17000,1000,M,2019-03-06
2019-06-11,20030,18500,500,F,
2019-06-14,13670,11500,500,F,
2019-06-17,19200,16500,1000,F,
2019-06-18,14990,21000,2000,M,
2019-06-19,14980,18000,1000,F,
2019-06-21,26330,24500,2000,F,2019-04-15
2019-06-25,17520,16550,1000,F,
2019-06-26,15490,20000,500,F,
2019-06-28,16940,18500,500,M,2019-04-16
2019-07-05,18200,18000,1000,M,2019-04-17
2019-07-08,13510,10500,2000,F,
2019-07-10,15990,14000,1500,F,
2019-07-11,23220,15500,1000,M,
2019-07-12,9930,9500,500,F,
2019-07-16,20240,18000,500,F,2019-05-06
2019-07-17,9240,12000,2000,M,2019-05-29
2019-07-22,18910,16000,1500,F,2019-04-19
2019-07-23,20620,16500,500,F,
2019-07-24,16670,16500,1000,F,2019-05-16
2019-07-25,15320,12500,1000,M,2019-04-22
2019-07-26,18120,16500,2000,M,2019-06-04
2019-07-29,22670,24000,1000,M,
2019-07-31,21260,18000,1000,F,
2019-08-01,15490,20000,500,F,2019-06-26
2019-08-02,17520,16550,1000,F,2019-06-25
2019-08-08,23660,21000,2000,F,
2019-08-09,17790,15000,500,F,
2019-08-12,9930,9500,500,F,2019-07-12
2019-08-13,14980,18000,1000,F,2019-06-19
2019-08-14,20030,18500,500,F,2019-06-11
2019-08-15,14990,21000,2000,M,2019-06-18
2019-08-16,13990,14600,1000,F,
2019-08-20,19200,16500,1000,F,2019-06-17
2019-08-23,8980,8200,1500,M,
2019-08-26,13920,16800,1000,M,
2019-08-28,19040,17000,500,F,
2019-08-29,27580,22000,2000,M,
2019-09-02,28330,23000,1000,M,
2019-09-04,19460,16000,1000,M,
2019-09-05,16550,18000,2000,M,
2019-09-06,9450,9000,2000,M,
2019-09-09,13730,14500,500,M,
2019-09-11,16650,16070,1500,F,
2019-09-12,16550,13000,500,M,
2019-09-16,21120,17000,500,M,
2019-09-17,9490,8000,1500,M,
2019-09-18,28530,21000,2000,M,
2019-09-19,18540,16000,500,F,
2019-09-20,16250,17000,1500,F,
2019-09-25,9350,10800,2000,M,2019-05-20
2019-09-26,15440,20000,500,F,
2019-09-27,18060,18500,1000,M,2019-05-23
2019-09-30,11820,11500,1500,F,2019-05-21
2019-10-01,9850,12500,500,F,2019-05-17
2019-10-02,15010,12000,1000,F,
2019-10-03,29350,21000,2000,M,
2019-10-04,22070,23500,500,F,
2019-10-07,17350,18000,1000,M,
2019-10-08,21230,19000,500,M,
2019-10-18,25583,25500,1500,F,
2019-10-21,17300,18500,500,M,
2019-10-22,11910,9000,2000,F,
